127.0.0.1 - - [15/Feb/2020:13:15:37 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:17 +0800] "GET /wcExportAndImport/statics/bootstrap-3.3.7/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:17 +0800] "GET /wcExportAndImport/statics/img/personal_photo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /statics/bootstrap-3.3.7/dist/css/bootstrap.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /statics/layui/css/layui.css HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /statics/css/navigation.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /statics/css/xoms.layout.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /statics/js/jquery.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /statics/layui/layui.js HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /statics/bootstrap-3.3.7/dist/js/bootstrap.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/table.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/laytpl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/laypage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /wcExportAndImport/statics/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:18 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:19 +0800] "GET /wcExportAndImport/company/AnnualInspection.do HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:25 +0800] "GET /wcExportAndImport/customer/customerUI HTTP/1.1" 200 10648
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:25 +0800] "GET /wcExportAndImport/statics/js/common/common.js HTTP/1.1" 200 14902
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:25 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/laydate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:25 +0800] "GET /wcExportAndImport/statics/layui/css/modules/laydate/default/laydate.css?v=5.0.9 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:25 +0800] "GET /wcExportAndImport/statics/layui/font/iconfont.woff?v=220 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:25 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:25 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:25 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/element.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:25 +0800] "GET /wcExportAndImport/statics/bootstrap-3.3.7/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:26 +0800] "GET /wcExportAndImport/customer/getAllCustomer.do?page=1&limit=10 HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:28 +0800] "GET /wcExportAndImport/statics/layui/css/modules/layer/default/loading-1.gif HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:28 +0800] "GET /wcExportAndImport/statics/layui/css/modules/layer/default/icon.png HTTP/1.1" 200 11493
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:30 +0800] "GET /wcExportAndImport/customer/jumpEndit.do HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:41 +0800] "GET /wcExportAndImport/company/AnnualInspection.do HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:18:50 +0800] "GET /wcExportAndImport/page/login HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:00 +0800] "POST /wcExportAndImport/login HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:00 +0800] "GET /wcExportAndImport/statics/html/datapushhead.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:04 +0800] "GET /wcExportAndImport/page/pageJump.do?path=after/customsDeclaration/customsDeclaration HTTP/1.1" 200 11871
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:05 +0800] "GET /wcExportAndImport/customsDeclaration/importDeclaration.do?page=1&limit=10 HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:07 +0800] "GET /wcExportAndImport/page/updateJump.do?path=after/customsDeclaration/ImportReceivables&id=1 HTTP/1.1" 200 26028
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:07 +0800] "GET /wcExportAndImport/statics/css/user/user.css HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:08 +0800] "GET /wcExportAndImport/customsDeclaration/getUser.do HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:45 +0800] "GET /wcExportAndImport/page/pageJump.do?path=after/customsDeclaration/exportDeclaration HTTP/1.1" 200 12480
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:45 +0800] "GET /wcExportAndImport/statics/js/common/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:46 +0800] "GET /wcExportAndImport/customsDeclaration/exportDeclaration.do?page=1&limit=10 HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:48 +0800] "GET /wcExportAndImport/page/updateJump.do?path=after/customsDeclaration/exportReceivables&id=1 HTTP/1.1" 200 26028
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:19:49 +0800] "GET /wcExportAndImport/customsDeclaration/getUser.do HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:08 +0800] "GET /wcExportAndImport/page/pageJump.do?path=after/customsDeclaration/customsDeclaration HTTP/1.1" 200 11871
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:09 +0800] "GET /wcExportAndImport/customsDeclaration/importDeclaration.do?page=1&limit=10 HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:12 +0800] "GET /wcExportAndImport/page/pageContract.do?path=after/customsDeclaration/uploadFile&invoice=1579422391773387&id=1 HTTP/1.1" 200 9655
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:12 +0800] "GET /wcExportAndImport/statics/transfer/layui/css/layui.css HTTP/1.1" 200 95421
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:12 +0800] "GET /wcExportAndImport/statics/transfer/layui/layui.js HTTP/1.1" 200 7347
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:12 +0800] "GET /wcExportAndImport/statics/transfer/layui/layui.all.js HTTP/1.1" 200 278422
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:12 +0800] "GET /wcExportAndImport/statics/transfer/layui/css/modules/laydate/default/laydate.css?v=5.0.9 HTTP/1.1" 200 7537
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:12 +0800] "GET /wcExportAndImport/statics/transfer/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 200 14425
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:12 +0800] "GET /wcExportAndImport/statics/transfer/layui/css/modules/code.css HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:12 +0800] "GET /wcExportAndImport/AArrivalPlan/findPicture.do?invoice=1579422391773387 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:26 +0800] "GET /wcExportAndImport/page/pageJump.do?path=after/customsDeclaration/exportDeclaration HTTP/1.1" 200 12480
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:27 +0800] "GET /wcExportAndImport/customsDeclaration/exportDeclaration.do?page=1&limit=10 HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:29 +0800] "GET /wcExportAndImport/page/pageContract.do?path=after/customsDeclaration/exportUploadFile&invoice=1579405312834465&id=1 HTTP/1.1" 200 9687
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:20:29 +0800] "GET /wcExportAndImport/AArrivalPlan/findPicture.do?invoice=1579405312834465 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:09 +0800] "GET /wcExportAndImport/page/pageJump.do?path=after/customsDeclaration/exportDeclaration HTTP/1.1" 200 12480
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:09 +0800] "GET /wcExportAndImport/statics/js/common/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:10 +0800] "GET /wcExportAndImport/customsDeclaration/exportDeclaration.do?page=1&limit=10 HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:10 +0800] "GET /wcExportAndImport/page/pageJump.do?path=after/customsDeclaration/customsDeclaration HTTP/1.1" 200 11871
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:11 +0800] "GET /wcExportAndImport/customsDeclaration/importDeclaration.do?page=1&limit=10 HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:13 +0800] "GET /wcExportAndImport/company/afterCompanyUI HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:14 +0800] "GET /wcExportAndImport/modular/jump HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:15 +0800] "GET /wcExportAndImport/company/getAllCompany.do?page=1&limit=10 HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:15 +0800] "GET /wcExportAndImport/modular/findAllModular.do?page=1&limit=10 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:15 +0800] "GET /wcExportAndImport/user/jump HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:16 +0800] "GET /wcExportAndImport/user/findAllUser.do?page=1&limit=10 HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:16 +0800] "GET /wcExportAndImport/page/pageJump.do?path=after/customsDeclaration/customsDeclaration HTTP/1.1" 200 11871
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:21:17 +0800] "GET /wcExportAndImport/customsDeclaration/importDeclaration.do?page=1&limit=10 HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:23:48 +0800] "GET /wcExportAndImport/page/login HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:23:57 +0800] "POST /wcExportAndImport/login HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:23:57 +0800] "GET /wcExportAndImport/statics/html/datapushhead.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:24:01 +0800] "GET /wcExportAndImport/modular/jump HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:24:01 +0800] "GET /wcExportAndImport/statics/js/common/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:24:01 +0800] "GET /wcExportAndImport/modular/findAllModular.do?page=1&limit=10 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:24:02 +0800] "GET /wcExportAndImport/company/afterCompanyUI HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:24:02 +0800] "GET /wcExportAndImport/company/getAllCompany.do?page=1&limit=10 HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:24:04 +0800] "GET /wcExportAndImport/page/pageJump.do?path=after/customsDeclaration/customsDeclaration HTTP/1.1" 200 11871
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:24:04 +0800] "GET /wcExportAndImport/customsDeclaration/importDeclaration.do?page=1&limit=10 HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:24:05 +0800] "GET /wcExportAndImport/page/pageJump.do?path=after/customsDeclaration/exportDeclaration HTTP/1.1" 200 12480
0:0:0:0:0:0:0:1 - - [15/Feb/2020:13:24:06 +0800] "GET /wcExportAndImport/customsDeclaration/exportDeclaration.do?page=1&limit=10 HTTP/1.1" 200 949
